,Star_Rating,Review_Title,Pros,Cons,Review_Title_sentiment_score_normalization,Pros_And_Cons,Pros_And_Cons_sentiment_score_normalization,Review_Title_sentiment_score_vader,Pros_And_Cons_sentiment_score_vader,Review_Title_Flair,Pros_And_Cons_Flair
10,5.0,Nice,"Cool perks, compensation, and mobility.","Work life balance, and public perception",1.0,"Cool perks, compensation, and mobility.Work life balance, and public perception",0.22,0.42,0.32,0.9678781628608704,0.9984185695648193
11,5.0,Great place to work,"Open culture, a lot of opportunities accross the company","Processes, as in any big company",0.67,"Open culture, a lot of opportunities accross the companyProcesses, as in any big company",0.0,0.62,0.38,0.9945878982543945,0.9987114667892456
12,5.0,"Great company, great benefits, great people","Work with some of the brightest and most motivated engineers you will ever meet. 

Great benefits, amazing perks, and a highly inclusive internal culture.","Can be difficult to ""stand out"" among so much talent.",0.67,"Work with some of the brightest and most motivated engineers you will ever meet. 

Great benefits, amazing perks, and a highly inclusive internal culture.Can be difficult to ""stand out"" among so much talent.",0.32,0.94,0.96,0.9909695982933044,0.9989308714866638
13,5.0,good,it is very good indeed,not very bad; some days are stressful,1.0,it is very good indeednot very bad; some days are stressful,-0.2,0.44,-0.6,0.9313952922821045,-0.9915149211883545
14,5.0,software,good environment and helpful peoples,it can be overwhelming sometimes,0.0,good environment and helpful peoplesit can be overwhelming sometimes,0.17,0.0,0.69,0.977403461933136,0.9326356053352356
15,5.0,Great place and culture,great culture and great base pay,almost too chill of work environment,0.33,great culture and great base payalmost too chill of work environment,0.25,0.62,0.85,0.9957000017166138,0.73033207654953
16,5.0,Great place to work,"Community, people, perks, benefits, tools, total comp","Company receives a lot of bad press, much of it misguided",0.67,"Community, people, perks, benefits, tools, total compCompany receives a lot of bad press, much of it misguided",-0.08,0.62,-0.23,0.9945878982543945,-0.9945565462112427
17,5.0,Great comp and benefits,"comp, type of work, empowerment and great benefits","growing too fast, company, teams, orgs,",0.67,"comp, type of work, empowerment and great benefitsgrowing too fast, company, teams, orgs,",0.4,0.77,0.62,0.9962511658668518,0.6533676385879517
18,5.0,Good place to work,"Good pay, smart people, challenging work","Bureaucracy, uncertain future for the company",0.67,"Good pay, smart people, challenging workBureaucracy, uncertain future for the company",0.0,0.44,0.56,0.9780963063240051,0.9725180268287659
19,3.0,"good pay, bad worklife balance",good overall benefits and easy performance reviews,you have to tell people that you work at facebook,0.0,good overall benefits and easy performance reviewsyou have to tell people that you work at facebook,0.4,-0.25,0.81,-0.9893686175346375,0.9474568963050842
20,5.0,Rating,"Great place to work, great community",Not a lot of sharing,0.0,"Great place to work, great communityNot a lot of sharing",0.43,0.0,0.9,0.9922143816947937,0.9851865172386169
21,5.0,Can't ask for a better employer,Helped me grow from a junior engineer to someone that is capable of leading large scale projects.,Your friends and family thinks you know how to fix every bug they see on Facebook.,0.33,Helped me grow from a junior engineer to someone that is capable of leading large scale projects.Your friends and family thinks you know how to fix every bug they see on Facebook.,0.11,-0.34,0.69,0.9338993430137634,0.9990338087081909
22,3.0,"Good pay, but barely any fun work",Compensation and Benefits are pretty good,Very little autonomy - lots of politics. My job is to make other people who decide my ratings happy in order to get higher bonuses + promotion offers. Engineering work is often not that challenging and there's not much focus time for it,0.6,Compensation and Benefits are pretty goodVery little autonomy - lots of politics. My job is to make other people who decide my ratings happy in order to get higher bonuses + promotion offers. Engineering work is often not that challenging and there's not much focus time for it,0.15,0.7,0.91,-0.9984742999076843,-0.9926047325134277
23,5.0,Great,Great company to work at.,Not much to share here,1.0,Great company to work at.Not much to share here,0.4,0.62,0.74,0.99007648229599,0.998380184173584
24,5.0,Intern,"great experience, good salary, good place",none none none none none,0.0,"great experience, good salary, good placenone none none none none",0.3,0.0,0.87,-0.7623652219772339,0.9950441122055054
25,5.0,Great company,Good benefits and okay culture,No complaints at this time.,0.5,Good benefits and okay cultureNo complaints at this time.,0.17,0.62,0.57,0.991626501083374,0.9832010269165039
26,4.0,Overall Great Experience with Areas of Improvement,"Strong culture, even if at times its at odds with each other. Very smart and positive attitudes towards collaboration as a company. Great health benefits and an overall strong desire to ensure teams were happy and had great resources.",Open to feedback is a bonus but can also be weaponized. More executive sponsorship for junior managers would be beneficial,0.4,"Strong culture, even if at times its at odds with each other. Very smart and positive attitudes towards collaboration as a company. Great health benefits and an overall strong desire to ensure teams were happy and had great resources.Open to feedback is a bonus but can also be weaponized. More executive sponsorship for junior managers would be beneficial",0.27,0.8,0.97,0.9946271777153015,0.994239091873169
27,4.0,Product Operations as an Entry Point to Tech,"1. Working with product team, engineering and cross functional partners providers good product experience
2. Working within product development lifecycle",1. Operational role that is often overlooked by product teams,0.0,"1. Working with product team, engineering and cross functional partners providers good product experience
2. Working within product development lifecycle1. Operational role that is often overlooked by product teams",0.05,0.0,0.42,0.998860239982605,0.9977737069129944
28,5.0,People Focused,"Facebook deeply cares about its employees and has built a compelling culture around support and growth. Career growth opportunities are plentiful. If you don't like the team you're on or don't get the support you want from your manger, Facebook empowers you to find new teams or projects. Facebook wants its employees to be invested in their work and to feel connected to its larger mission. If large scale opportunities and growth are important to you, Facebook is a fantastic place to work.",Facebook's culture is demanding and fast paced. The greatest aspect of working at Facebook is that everyone is very motivated and very smart. The problem with this is that they all expect the very same of you. Holding a very high bar for excellence can certainly be demanding so it's important to make sure you're always carefully paying attention to your own personal work/life balance.,0.0,"Facebook deeply cares about its employees and has built a compelling culture around support and growth. Career growth opportunities are plentiful. If you don't like the team you're on or don't get the support you want from your manger, Facebook empowers you to find new teams or projects. Facebook wants its employees to be invested in their work and to feel connected to its larger mission. If large scale opportunities and growth are important to you, Facebook is a fantastic place to work.Facebook's culture is demanding and fast paced. The greatest aspect of working at Facebook is that everyone is very motivated and very smart. The problem with this is that they all expect the very same of you. Holding a very high bar for excellence can certainly be demanding so it's important to make sure you're always carefully paying attention to your own personal work/life balance.",0.19,0.38,0.99,0.9968993663787842,0.9984488487243652
29,3.0,Smart ppl but difficult culture,a lot of smart ppl,leadership teams all sounded the same. Everyone was afraid to give their own opinion to some critical matters. very fake,0.0,a lot of smart pplleadership teams all sounded the same. Everyone was afraid to give their own opinion to some critical matters. very fake,-0.17,-0.34,-0.44,-0.9606407284736633,-0.9999845027923584
30,5.0,Good employer,Good salary available for this position,The AI needs to be completely revamped and re engineered to be more effective and less inaccurately triggered,0.5,Good salary available for this positionThe AI needs to be completely revamped and re engineered to be more effective and less inaccurately triggered,0.15,0.44,0.74,0.9930794835090637,0.8713476061820984
31,4.0,"average company, good choice to work at Seattle","competitive salary;
locate at downtown, transportation-friendly;","low work-life-balance
workload is heavier;
inflexible working time",0.33,"competitive salary;
locate at downtown, transportation-friendly;low work-life-balance
workload is heavier;
inflexible working time",0.13,0.44,0.18,-0.9689502120018005,0.9946497082710266
32,5.0,yes,nice job super good very,bad name mark suckerberg ceo,0.0,nice job super good verybad name mark suckerberg ceo,0.33,0.4,0.86,0.99179607629776,0.9902798533439636
33,4.0,Great benefits but crap WLB,"Great benefits
High compensation
Smart developers
Good internal mobility and team selection process","Terrible Work Life Balance
Performance Anxiety
Poor company morale from news",0.25,"Great benefits
High compensation
Smart developers
Good internal mobility and team selection processTerrible Work Life Balance
Performance Anxiety
Poor company morale from news",0.14,-0.01,0.82,-0.9836292862892151,0.9411045908927917
34,5.0,Career-Changing Opportunity,"• Meta is an incredible place to gain experience, work (and network!) with people who are at the top of their fields, and grow your own skill set—IF you invest the effort and time to make it happen. 
• Many employees have the chance to work with people from all over the world, in an environment that encourages different perspectives. 
• I never thought someone like me would belong at a company like this—but I feel welcomed and encouraged, and I'm grateful to have learned so much (personally and professionally) from my coworkers. Never would've believed I'd feel this way while starting remotely during COVID, either!
• Most managers at Meta really want to be managers; folks aren't promoted just because it's the next most logical step in their career. In my experience, this means most managers are supportive, want to see you succeed, and are invested in helping you grow your career, not just in furthering their own agenda.
• Comp & benefits are amazing. WHY DID MY GUIDANCE COUNSELORS IN HIGH SCHOOL AND COLLEGE NOT TELL ME ABOUT RSUs??? That is all. 
• Having Meta on your resumé will open doors in a way that name dropping few other companies would.
• The support Meta provided throughout COVID has been exceptional, with flexibility and leave options that have helped me deal with remote learning, childcare gaps, and more. I've repeatedly told friends how lucky I have been to have joined Meta just before the pandemic.","• There are high expectations. ""Move fast"" isn't just a value — it's a description of how we work. If you like rigid work structures and aligning to predefined goals without questioning or re-assessing them as you progress, you probably won't thrive in the Meta environment. 
• Because of this constant flux, it can be hard to take PTO or maintain a consistently good work/life balance. This honestly depends on your team and manager, as well as how good you are at prioritizing. (Hint: Get comfortable saying no.)
• Constant press leaks continue to threaten the previously ""open by default"" culture, complicating some teams' jobs (as they react to announcements vs. prepare for announcements).",0.0,"• Meta is an incredible place to gain experience, work (and network!) with people who are at the top of their fields, and grow your own skill set—IF you invest the effort and time to make it happen. 
• Many employees have the chance to work with people from all over the world, in an environment that encourages different perspectives. 
• I never thought someone like me would belong at a company like this—but I feel welcomed and encouraged, and I'm grateful to have learned so much (personally and professionally) from my coworkers. Never would've believed I'd feel this way while starting remotely during COVID, either!
• Most managers at Meta really want to be managers; folks aren't promoted just because it's the next most logical step in their career. In my experience, this means most managers are supportive, want to see you succeed, and are invested in helping you grow your career, not just in furthering their own agenda.
• Comp & benefits are amazing. WHY DID MY GUIDANCE COUNSELORS IN HIGH SCHOOL AND COLLEGE NOT TELL ME ABOUT RSUs??? That is all. 
• Having Meta on your resumé will open doors in a way that name dropping few other companies would.
• The support Meta provided throughout COVID has been exceptional, with flexibility and leave options that have helped me deal with remote learning, childcare gaps, and more. I've repeatedly told friends how lucky I have been to have joined Meta just before the pandemic.• There are high expectations. ""Move fast"" isn't just a value — it's a description of how we work. If you like rigid work structures and aligning to predefined goals without questioning or re-assessing them as you progress, you probably won't thrive in the Meta environment. 
• Because of this constant flux, it can be hard to take PTO or maintain a consistently good work/life balance. This honestly depends on your team and manager, as well as how good you are at prioritizing. (Hint: Get comfortable saying no.)
• Constant press leaks continue to threaten the previously ""open by default"" culture, complicating some teams' jobs (as they react to announcements vs. prepare for announcements).",0.16,0.42,0.99,0.9993140697479248,0.9998364448547363
35,3.0,Rotten,None no pros terrible stinks,Worst company terrible corporate culture,-1.0,None no pros terrible stinksWorst company terrible corporate culture,-0.25,-0.51,0.72,-0.9992372989654541,-0.999897837638855
36,5.0,Good place to work,"- excellent team
- excellent benefits
- good pay","- negative press
- too many tools",0.67,"- excellent team
- excellent benefits
- good pay- negative press
- too many tools",0.4,0.44,0.83,0.9780963063240051,0.9494277238845825
37,5.0,great benefits,"I have had such a great experience working for Meta since I joined the company. The maternity time is awesome compared to a lot of other companies, they really value family.",things move at a very fast pace.,1.0,"I have had such a great experience working for Meta since I joined the company. The maternity time is awesome compared to a lot of other companies, they really value family.things move at a very fast pace.",0.15,0.77,0.9,0.98954176902771,0.9981315732002258
38,4.0,"Great work/life balance, culture, and benefits","- Work life balance
- Benefits 
- Culture (people first)","- Underpaid for what we do (work in product) 
- Title is inaccurate (should be program manager) 
- Performance Reviews are extremely competitive, rate everyone against each other rather than sole performance in your role...if everyone is overachieving, then that is the new baseline ""expectation"", so even if you're crushing it in your role and doing extra, you can still get a meets expectations. Difficult to get promotions and pay raise",0.5,"- Work life balance
- Benefits 
- Culture (people first)- Underpaid for what we do (work in product) 
- Title is inaccurate (should be program manager) 
- Performance Reviews are extremely competitive, rate everyone against each other rather than sole performance in your role...if everyone is overachieving, then that is the new baseline ""expectation"", so even if you're crushing it in your role and doing extra, you can still get a meets expectations. Difficult to get promotions and pay raise",0.0,0.77,-0.2,0.9982336759567261,-0.9997376799583435
39,2.0,Meta,"Amazing benefit, people are so friendly and helpful, competitive pay, great systems","It's difficult to get promoted, little mentorship, managers aren't well trained and aren't supportive of growth. There is no work life balance and little reward for working harder.",0.0,"Amazing benefit, people are so friendly and helpful, competitive pay, great systemsIt's difficult to get promoted, little mentorship, managers aren't well trained and aren't supportive of growth. There is no work life balance and little reward for working harder.",0.35,0.0,0.95,0.9900315999984741,-0.851276695728302
40,5.0,too good to be true,too good to be true.,no cons at all at this company.,0.5,too good to be true.no cons at all at this company.,0.25,0.69,0.44,0.9912240505218506,0.995546817779541
41,5.0,Amazing culture likely unmatched anywhere else,The culture is incredible. Autonomy is high and employees are encouraged to drive solutions in many areas without the typical red tape one would expect from a large company.,Recent rapid growth has led to hiring many folks without the same cultural mindset. Creeping in of a different more traditional culture where employees are awarded for their ability to raise key metrics which don't support the business and are very self serving.,0.33,The culture is incredible. Autonomy is high and employees are encouraged to drive solutions in many areas without the typical red tape one would expect from a large company.Recent rapid growth has led to hiring many folks without the same cultural mindset. Creeping in of a different more traditional culture where employees are awarded for their ability to raise key metrics which don't support the business and are very self serving.,0.09,0.54,0.82,0.9988080263137817,0.8294696807861328
42,5.0,Great company,"Leadership, peers, culture, compensation, work-life balance","Becoming corporate, less start-up and less fun",0.5,"Leadership, peers, culture, compensation, work-life balanceBecoming corporate, less start-up and less fun",0.17,0.62,0.46,0.991626501083374,-0.998803973197937
43,4.0,Great internal culture,"Work/life balance, benefits, ability to grow","External scrutiny, perception of organization",0.33,"Work/life balance, benefits, ability to growExternal scrutiny, perception of organization",0.22,0.62,0.6,0.989168643951416,0.9993966817855835
44,3.0,Bad Management,"Compensation package
Top talent
Flexible work conditions","Lack of process, guidance, structure
No one care about the other
Incompetent Managers",-0.5,"Compensation package
Top talent
Flexible work conditionsLack of process, guidance, structure
No one care about the other
Incompetent Managers",0.29,-0.54,0.53,-0.9997044205665588,0.9954142570495605
45,5.0,Nice place to work,"Great views, and great food",Like all jobs it takes some getting used to,0.67,"Great views, and great foodLike all jobs it takes some getting used to",0.25,0.42,0.85,0.9842372536659241,0.9976449608802795
46,5.0,Marketing Team Sol Eng team is Fantastic,"The work life balance of being a solutions engineer is amazing. The marketing team gives Sol eng tons of autonomy to work on interesting projects. At the end of the day, the goal is the improve the advertisers goals",Sometime can be a little dead. Clients are spending less on Meta and hesitant post iOS14 privacy rules.,0.17,"The work life balance of being a solutions engineer is amazing. The marketing team gives Sol eng tons of autonomy to work on interesting projects. At the end of the day, the goal is the improve the advertisers goalsSometime can be a little dead. Clients are spending less on Meta and hesitant post iOS14 privacy rules.",0.09,0.56,0.62,0.9969741106033325,0.9964585900306702
47,2.0,Worst work life balance,"Holidays
Recognition
Flexibility to work from home","Everything else is a con
Bad work life culture
Overworked employees
No respect for each other free time",0.0,"Holidays
Recognition
Flexibility to work from homeEverything else is a con
Bad work life culture
Overworked employees
No respect for each other free time",0.25,-0.62,0.69,-0.999970555305481,-0.9868396520614624
48,5.0,Great training and people,"-the people really care and everyone wants you to be successful 
-the benefits are AMAZING",- for training it can be challenging to work with people on different time zones,0.33,"-the people really care and everyone wants you to be successful 
-the benefits are AMAZING- for training it can be challenging to work with people on different time zones",0.2,0.62,0.94,0.9887081384658813,0.9895302653312683
49,5.0,Great place to work!,"Pay and benefits, great management, work alongside smart people, large global impact, diversity",Nothing that I can think of,0.67,"Pay and benefits, great management, work alongside smart people, large global impact, diversityNothing that I can think of",0.31,0.66,0.84,0.996940016746521,0.9903809428215027
50,5.0,Great Company,"Good benefits, smart people, challenging work",Always in the media and have negative press,0.5,"Good benefits, smart people, challenging workAlways in the media and have negative press",0.22,0.62,0.62,0.991626501083374,0.9849862456321716
51,4.0,Great place to work,They provide really good benefits,"if you are not proactive, might be stressful and hard to do well",0.67,"They provide really good benefitsif you are not proactive, might be stressful and hard to do well",0.11,0.62,-0.19,0.9945878982543945,0.8860539793968201
52,5.0,Great company,"Great work life balance, challenging work, innovative products. Excellent work location options (i.e. remote, hybrid or in office).",No real cons working at Meta.,0.5,"Great work life balance, challenging work, innovative products. Excellent work location options (i.e. remote, hybrid or in office).No real cons working at Meta.",0.25,0.62,0.91,0.991626501083374,0.9960015416145325
53,2.0,Review...,Benefits are really out of this world.,Culture can be very toxic depending on teams...,0.0,Benefits are really out of this world.Culture can be very toxic depending on teams...,0.0,0.0,0.38,0.987095057964325,0.9907935261726379
54,5.0,Best paid engineer at Facebook,I get paid a lot of money,I work for Facebook :(,0.25,I get paid a lot of moneyI work for Facebook :(,0.17,0.64,-0.44,0.993309736251831,-0.9984778761863708
55,2.0,no,"very good
very good
very good
very good","too tired too tired 
too tired too tired 
too tired too tired",,"very good
very good
very good
very goodtoo tired too tired 
too tired too tired 
too tired too tired",-0.3,-0.3,-0.86,-0.9061905741691589,0.9770432710647583
56,4.0,Good choice for new grad,Great growth opportunities and benefits.,Culture could be better. Volatile stock price recently,0.25,Great growth opportunities and benefits.Culture could be better. Volatile stock price recently,0.18,0.44,0.9,0.9859344363212585,-0.6142670512199402
57,5.0,"You get to work with amazing, talented and intelligent folks!","What brought me here was the brand, what keeps me here are the challenges we face and the talented and fabulous people that I get to work with and learn from. In the two years that I have been here I have learned more than what I have learned in my entire career. I have learned from how others process information and look things, their approach to solving problems, how they structure information and the flags they raise. I have been able to see 'in action' different perspective that have brought awareness and growth, personally and professionally. The people I work with, is the number one reason I am still, and will continue to work here. A second important factor is the flexibility and multiple options that employees are given for returning to work post-pandemic. We have the ability to request remote work and relocate. Every employee has the option to tailor their work schedules and adopt to suite their life styles. Fair and competitive compensation and benefits are secondary.","Every workplace has opportunities for growth and while not everything is perfect at Meta, no one has said that we have stopped growing. The constant changes indicate the pains of growth and bring hope that things are being looked at and that feedback from employees is being applied. My advise to those who flag issues and are passionate about specific changes is to stick around, work internally and drive change. Don't leave, work and make a change!",0.67,"What brought me here was the brand, what keeps me here are the challenges we face and the talented and fabulous people that I get to work with and learn from. In the two years that I have been here I have learned more than what I have learned in my entire career. I have learned from how others process information and look things, their approach to solving problems, how they structure information and the flags they raise. I have been able to see 'in action' different perspective that have brought awareness and growth, personally and professionally. The people I work with, is the number one reason I am still, and will continue to work here. A second important factor is the flexibility and multiple options that employees are given for returning to work post-pandemic. We have the ability to request remote work and relocate. Every employee has the option to tailor their work schedules and adopt to suite their life styles. Fair and competitive compensation and benefits are secondary.Every workplace has opportunities for growth and while not everything is perfect at Meta, no one has said that we have stopped growing. The constant changes indicate the pains of growth and bring hope that things are being looked at and that feedback from employees is being applied. My advise to those who flag issues and are passionate about specific changes is to stick around, work internally and drive change. Don't leave, work and make a change!",0.12,0.89,0.98,0.9984336495399475,0.9998188614845276
58,5.0,Fun Company,great food and community!! Also good move benefits,There is a lot of politics,0.5,great food and community!! Also good move benefitsThere is a lot of politics,0.22,0.51,0.82,0.9976473450660706,0.9838765263557434
59,4.0,Becoming more and more corporate. Still a great place to work.,"- perks
- growth
- culture
- comp","- politics
- competition
- WLB
- Hardware",0.33,"- perks
- growth
- culture
- comp- politics
- competition
- WLB
- Hardware",0.0,0.66,0.38,0.994099497795105,0.9987735152244568
60,3.0,Tough Place to Work,Great comp and overall benefits,Very little work/life balance and extremely demanding,0.67,Great comp and overall benefitsVery little work/life balance and extremely demanding,0.2,-0.13,0.44,-0.9939764738082886,0.9122945666313171
61,5.0,balance,the work life balance is great,there are no cons so far,0.0,the work life balance is greatthere are no cons so far,0.17,0.0,-0.3,0.9993463158607483,0.9933363199234009
62,4.0,Meta is a good place for career,"Benefits , Work Life Balance, Overall","Media Coverage, Growth Opportunity , Diversity",0.25,"Benefits , Work Life Balance, OverallMedia Coverage, Growth Opportunity , Diversity",0.22,0.44,0.79,0.9810925126075745,0.9968860745429993
63,4.0,Like it,Open culture and you can find everyone's post in the company,work-life balance sometimes is not good,1.0,Open culture and you can find everyone's post in the companywork-life balance sometimes is not good,0.1,0.36,-0.34,0.9057374596595764,0.9841995239257812
64,5.0,Meta has invested in my WHOLE self.,"Over the last decade, Meta has invested tremendously in my career. I have had 8+ roles across 6 different teams during my time here. I have also been able to be involved in our philanthropy programs, internal coaching, Employee Resource Group Leadership, and been a Learning and Development facilitator. Meta has supported nearly every aspect of my identity both personal and professional and I will always be grateful.","The avenues of communication at Meta are many: messenger, email, workplace notifications, docs notifications, there are a lot of ways to get a hold of someone. It takes a lot of ruthless prioritization to focus.",0.0,"Over the last decade, Meta has invested tremendously in my career. I have had 8+ roles across 6 different teams during my time here. I have also been able to be involved in our philanthropy programs, internal coaching, Employee Resource Group Leadership, and been a Learning and Development facilitator. Meta has supported nearly every aspect of my identity both personal and professional and I will always be grateful.The avenues of communication at Meta are many: messenger, email, workplace notifications, docs notifications, there are a lot of ways to get a hold of someone. It takes a lot of ruthless prioritization to focus.",0.04,0.0,0.32,0.9993963241577148,0.9924499988555908
65,5.0,A place that supports its employees - walks the walk and talks the talk,"DEI focus and building programs with fairness in mind
People centered
Amazing and generous benefits
Collaborative and kind coworkers
Open, transparent environment","Big company at scale, can feel like your role is narrowed
Can feel like lots of reorgs, restructures which can feel thrashy and disruptive",0.14,"DEI focus and building programs with fairness in mind
People centered
Amazing and generous benefits
Collaborative and kind coworkers
Open, transparent environmentBig company at scale, can feel like your role is narrowed
Can feel like lots of reorgs, restructures which can feel thrashy and disruptive",0.19,0.36,0.94,0.9988260865211487,0.9877027869224548
66,5.0,Good in pittsburgh,"High salary and low cost of living in Pittsburgh,","Less perks comparing to MPK, SEATTLE",0.5,"High salary and low cost of living in Pittsburgh,Less perks comparing to MPK, SEATTLE",0.0,0.44,-0.27,0.9705047011375427,0.9120541214942932
67,3.0,Good culture,"That's the one thing Facebook had going really well when I was working there, the culture was awesome, innovative and inclusive",Politics in leadership and culture has changed over years,0.5,"That's the one thing Facebook had going really well when I was working there, the culture was awesome, innovative and inclusivePolitics in leadership and culture has changed over years",0.2,0.44,0.86,0.9710455536842346,0.8771237730979919
68,5.0,Excellent human beings,Talented peers. Open market place of ideas. Massive opportunities for impact.,"The commute to MPK.

Constant barrage of judgement from external spectators who love to pass comment and not be a part of the solution.",0.33,"Talented peers. Open market place of ideas. Massive opportunities for impact.The commute to MPK.

Constant barrage of judgement from external spectators who love to pass comment and not be a part of the solution.",0.1,0.57,0.91,0.9968196153640747,-0.6325653791427612
